gene_id	median_absolute_deviation
3151	2767.824953093659
8743	2763.1934328889433
7127	2762.743570989017
6278	2762.3222021386982
79966	2760.7470204602723
1534	2760.414175128565
9144	2757.366170307331
29927	2752.715272967186
37	2751.5504920790613
6386	2750.935709374686
1001	2748.0604786627687
9500	2742.740136946777
6289	2737.8801591044003
8826	2724.710619846501
3913	2719.465548588193
83998	2718.4863940182004
1548	2712.6857385558865
8613	2712.4860773024534
5818	2712.1109767405565
4131	2704.9099799400474
27076	2695.3606313714085
1829	2694.7347878067935
477	2693.7559061245383
2114	2691.1422185178276
9635	2689.297631713503
23499	2688.155589622155
3916	2687.684515584617
10801	2684.7188790313826
81567	2681.7258212718903
8824	2675.905660912819
4924	2673.8127316033483
5476	2673.106213242747
486	2664.6752088198223
5066	2662.185449160313
1056	2661.2370458188934
23193	2659.694371065811
53826	2656.169355797793
9052	2655.1358194125364
5094	2654.056318134922
151887	2653.6842988683616
488	2652.9018507805313
3858	2650.9205395693243
826	2648.22117109952
4082	2648.14319574223
83442	2647.6900785018183
444	2643.068292861206
2876	2642.5979590285483
6189	2637.5356575339306
4240	2635.341354943688
5768	2632.3782339822496
84152	2623.5225660737783
8626	2621.0358839522087
23089	2615.859307213181
55959	2614.619318926368
1365	2610.610942523592
3911	2608.75470440747
7070	2604.2350822445183
10095	2603.2407459993005
6507	2602.6428649999416
79901	2597.807940956708
396	2593.8144480915525
51386	2593.608399300955
1889	2593.3935364397594
5327	2589.4466947676024
103	2588.231444270164
79083	2586.9309491452823
1396	2586.6370697455
1026	2586.292040062141
4134	2583.5426627943084
6146	2579.841749408671
5652	2573.353432759521
57515	2568.3452141226994
6271	2562.410351984919
1200	2559.478880315054
2907	2557.4985829903612
547	2554.860514431963
3119	2554.5500502914124
25824	2554.4280553758854
1316	2552.588309174343
2017	2551.055037384639
3646	2540.4959994787155
822	2535.9811849111834
4162	2533.5761955376915
3043	2530.710090203506
10537	2529.5800034085323
823	2527.9394697971693
1475	2527.7742927673376
64710	2525.0239599294014
387	2524.4138678573604
